Date,Open,High,Low,Close,Adj Close,Volume
2019-06-26,171.389999,172.389999,170.820007,171.059998,165.253525,7129900
2019-06-27,172.119995,172.399994,170.320007,171.229996,165.417740,5873400
2019-06-28,171.960007,173.550003,170.520004,173.550003,167.659027,8442700
2019-07-01,175.330002,175.539993,172.740005,173.940002,168.035782,6103200
2019-07-02,174.100006,175.320007,173.300003,175.279999,169.330292,5238100
2019-07-03,176.000000,176.990005,175.720001,176.869995,170.866348,4066600
2019-07-05,175.860001,177.029999,174.509995,176.660004,170.663498,5840400
2019-07-08,176.300003,176.610001,175.399994,176.190002,170.209381,6720300
2019-07-09,175.429993,177.889999,175.300003,177.729996,171.697128,4894300
2019-07-10,178.580002,180.259995,178.580002,179.309998,173.223480,5110600
2019-07-11,180.119995,180.940002,179.460007,180.740005,174.604996,6986600
2019-07-12,181.350006,181.350006,178.919998,180.330002,174.208893,7196700
2019-07-15,180.559998,181.070007,179.940002,180.570007,174.440750,4490400
2019-07-16,180.369995,180.880005,178.729996,179.309998,173.223480,6800200
2019-07-17,179.559998,180.210007,179.009995,179.149994,173.068909,3994200
2019-07-18,178.630005,180.619995,178.580002,180.529999,174.402115,4736300
2019-07-19,181.839996,181.839996,179.139999,179.240005,173.155884,5327100
2019-07-22,179.639999,180.979996,179.139999,180.570007,174.440750,4862100
2019-07-23,180.889999,181.270004,179.059998,180.899994,174.759537,7193000
2019-07-24,180.789993,183.429993,179.250000,183.330002,177.107086,8169300
2019-07-25,183.869995,183.990005,181.300003,181.589996,175.426102,6085800
2019-07-26,182.410004,183.820007,182.210007,183.690002,177.454865,5056300
2019-07-29,183.889999,184.070007,182.729996,183.210007,176.991150,4621800
2019-07-30,182.539993,183.380005,181.270004,181.529999,175.368118,5236600
2019-07-31,181.789993,182.050003,176.059998,178.000000,171.957977,7981200
2019-08-01,179.190002,182.399994,178.169998,179.169998,173.088287,8417300
2019-08-02,178.000000,178.270004,174.690002,177.419998,171.397675,8264600
2019-08-05,172.009995,173.500000,166.979996,168.860001,163.128220,16858300
2019-08-06,171.789993,172.949997,170.130005,172.479996,166.625305,10281300
2019-08-07,171.500000,175.729996,170.339996,175.320007,169.368942,8292800
2019-08-08,177.460007,179.949997,176.570007,179.899994,173.793518,7602800
2019-08-09,179.669998,180.100006,177.850006,179.050003,172.972366,5373700
2019-08-12,177.440002,178.649994,175.600006,176.339996,170.354324,7394400
2019-08-13,174.389999,178.919998,174.210007,178.610001,172.547287,6667700
2019-08-14,176.240005,177.250000,173.160004,173.509995,167.620361,7293500
2019-08-15,174.259995,177.020004,173.520004,176.270004,170.532440,6698000
2019-08-16,178.000000,178.750000,177.199997,178.229996,172.428589,8312200
2019-08-19,180.419998,180.419998,178.119995,179.740005,173.889420,5285000
2019-08-20,179.429993,180.630005,178.490005,179.240005,173.405731,3793600
2019-08-21,180.690002,181.690002,180.240005,180.940002,175.050400,3695900
2019-08-22,181.949997,182.330002,178.610001,180.089996,174.228043,6659900
2019-08-23,179.550003,180.500000,174.240005,175.229996,169.526260,7051900
2019-08-26,176.410004,177.669998,175.350006,177.589996,171.809448,7754400
2019-08-27,178.320007,179.190002,176.940002,178.380005,172.573746,4022100
2019-08-28,176.990005,178.990005,176.029999,178.669998,172.854279,4401900
2019-08-29,180.399994,181.389999,179.309998,181.169998,175.272903,4679200
2019-08-30,181.990005,182.179993,179.669998,180.820007,174.934296,4061200
2019-09-03,180.520004,181.250000,179.100006,179.199997,173.367035,4644000
2019-09-04,180.899994,182.199997,180.050003,181.770004,175.853378,4154800
2019-09-05,183.729996,185.679993,183.380005,184.729996,178.717041,6386800
2019-09-06,184.740005,186.710007,184.550003,185.740005,179.694138,7990900
2019-09-09,186.919998,187.050003,179.509995,181.550003,175.640564,7290500
2019-09-10,179.410004,179.699997,173.809998,176.350006,170.609833,15255200
2019-09-11,177.399994,177.929993,174.449997,174.979996,169.284378,9113600
2019-09-12,176.850006,179.410004,176.679993,177.979996,172.186737,7748800
2019-09-13,178.649994,178.770004,176.020004,177.270004,171.499847,6103200
2019-09-16,176.169998,177.199997,175.509995,176.110001,170.377625,4253600
2019-09-17,176.830002,178.259995,175.039993,176.449997,170.706512,5924700
2019-09-18,177.089996,177.179993,172.830002,175.289993,169.584305,9542500
2019-09-19,176.199997,177.410004,175.610001,175.960007,170.232483,6964500
2019-09-20,177.399994,177.630005,173.949997,174.059998,168.394333,12820400
2019-09-23,172.899994,175.250000,172.789993,174.910004,169.216705,8803500
2019-09-24,176.110001,177.199997,173.399994,174.479996,168.800659,10039900
2019-09-25,173.800003,175.669998,172.389999,175.279999,169.574631,7797300
2019-09-26,175.649994,176.449997,174.610001,175.649994,169.932602,10419000
2019-09-27,176.699997,176.830002,172.360001,174.000000,168.336304,9212600
2019-09-30,174.169998,175.449997,172.009995,172.009995,166.411087,16464000
2019-10-01,173.020004,174.820007,172.820007,174.289993,168.616852,8146200
2019-10-02,172.639999,172.940002,168.589996,169.830002,164.302032,10596200
2019-10-03,169.910004,173.139999,168.630005,172.869995,167.243057,7242800
2019-10-04,174.679993,176.520004,174.440002,175.979996,170.251846,6027600
2019-10-07,174.660004,175.690002,173.800003,174.899994,169.207001,5248300
2019-10-08,173.570007,174.639999,171.880005,172.419998,166.807739,5336500
2019-10-09,174.110001,175.990005,173.639999,174.880005,169.187637,6277300
2019-10-10,173.889999,175.899994,173.589996,174.880005,169.187637,4762400
2019-10-11,176.869995,179.199997,176.850006,177.059998,171.296677,8754400
2019-10-14,177.380005,178.410004,177.110001,177.360001,171.586929,7240900
2019-10-15,178.130005,179.429993,177.550003,178.750000,172.931702,4400200
2019-10-16,177.919998,178.259995,176.270004,177.869995,172.080322,6509000
2019-10-17,178.889999,179.190002,177.500000,177.940002,172.148026,4887900
2019-10-18,177.899994,178.199997,174.550003,175.710007,169.990662,6311900
2019-10-21,176.000000,176.729996,174.610001,176.429993,170.687195,4898200
2019-10-22,177.000000,177.789993,170.779999,170.860001,165.298538,10094700
2019-10-23,170.990005,172.169998,170.179993,171.320007,165.743515,7122300
2019-10-24,173.419998,176.869995,173.399994,176.160004,170.426025,7872600
2019-10-25,174.929993,179.149994,173.500000,177.850006,172.061005,10130100
2019-10-28,178.929993,180.179993,178.350006,179.839996,173.986206,10086500
2019-10-29,179.800003,180.000000,177.369995,177.630005,171.848099,7572800
2019-10-30,177.789993,179.419998,176.389999,179.250000,173.415405,5374800
2019-10-31,179.250000,179.699997,178.009995,178.860001,173.038101,6830800
2019-11-01,180.130005,181.320007,179.559998,180.929993,175.040695,7000200
2019-11-04,182.080002,182.399994,178.809998,178.949997,173.125153,7154800
2019-11-05,179.070007,179.559998,175.179993,176.369995,170.629135,7447500
2019-11-06,176.369995,178.190002,176.139999,176.770004,171.016113,6992500
2019-11-07,177.350006,180.649994,176.850006,178.429993,172.622101,7227200
2019-11-08,178.380005,179.449997,177.800003,178.970001,173.144531,3894100
2019-11-11,178.500000,180.360001,178.199997,179.539993,173.695953,3617300
2019-11-12,179.940002,181.059998,178.880005,179.740005,173.889420,6118700
2019-11-13,179.399994,180.880005,177.899994,179.410004,173.570160,6138300
2019-11-14,179.000000,179.770004,178.059998,179.750000,174.190414,9811000
2019-11-15,180.029999,180.679993,179.080002,179.770004,174.209778,7808800
2019-11-18,179.570007,180.320007,178.979996,179.660004,174.103195,7173700
2019-11-19,180.389999,182.979996,180.199997,182.770004,177.117004,8549900
2019-11-20,182.309998,183.220001,180.350006,181.660004,176.041321,6040500
2019-11-21,181.169998,181.809998,179.320007,179.889999,174.326096,5112200
2019-11-22,180.130005,180.470001,178.350006,179.470001,173.919052,6865600
2019-11-25,180.399994,181.350006,180.110001,180.970001,175.372711,5457800
2019-11-26,181.460007,182.919998,181.210007,182.550003,176.903809,7079000
2019-11-27,183.000000,184.539993,182.259995,184.369995,178.667496,11452700
2019-11-29,183.929993,184.850006,183.360001,184.509995,178.803146,3139100
2019-12-02,184.240005,184.369995,179.869995,181.789993,176.167282,6883200
2019-12-03,179.899994,182.139999,179.660004,181.899994,176.273895,4543300
2019-12-04,182.660004,182.660004,180.470001,180.600006,175.014099,10650400
2019-12-05,181.250000,182.029999,180.070007,181.889999,176.264191,4638600
2019-12-06,182.740005,183.279999,181.339996,182.169998,176.535553,14526700
2019-12-09,181.899994,183.259995,181.300003,182.919998,177.262360,10233100
2019-12-10,182.550003,183.149994,181.899994,182.259995,176.622742,8625700
2019-12-11,183.070007,183.080002,181.190002,182.009995,176.380463,7138800
2019-12-12,181.660004,183.330002,180.830002,182.639999,176.991043,11192100
2019-12-13,182.500000,185.520004,182.039993,185.139999,179.413727,8558100
2019-12-16,186.330002,186.820007,185.770004,186.240005,180.479675,8249900
2019-12-17,186.500000,186.779999,184.100006,185.520004,179.781967,10208700
2019-12-18,185.520004,186.440002,184.899994,184.899994,179.181107,8968500
2019-12-19,184.500000,186.580002,184.500000,186.539993,180.770370,5854200
2019-12-20,187.600006,188.169998,186.300003,188.000000,182.185226,11259500
2019-12-23,188.149994,188.410004,187.000000,187.080002,181.293686,5831700
2019-12-24,187.100006,188.020004,186.910004,187.570007,181.768539,2420900
2019-12-26,187.889999,189.179993,187.699997,189.160004,183.309341,5237000
2019-12-27,189.740005,189.889999,188.470001,189.389999,183.532272,5448600
2019-12-30,189.309998,189.479996,187.119995,187.830002,182.020493,4833600
2019-12-31,187.059998,188.000000,186.539993,187.899994,182.088318,5273000
2020-01-02,189.000000,191.139999,188.720001,191.119995,185.208710,8733000
2020-01-03,188.410004,190.960007,187.919998,189.600006,183.735733,4899700
2020-01-06,188.000000,189.210007,187.160004,189.190002,183.338425,10109500
2020-01-07,189.589996,190.100006,188.600006,188.690002,182.853867,4392300
2020-01-08,189.490005,192.500000,188.800003,191.919998,185.983978,5712000
2020-01-09,193.000000,193.919998,192.520004,193.250000,187.272858,6748000
2020-01-10,193.500000,194.570007,193.110001,193.770004,187.776779,6586400
2020-01-13,194.440002,195.600006,194.279999,195.330002,189.288513,11290500
2020-01-14,196.740005,196.949997,195.139999,196.050003,189.986282,6236500
2020-01-15,197.000000,200.149994,196.320007,199.800003,193.620239,10831100
2020-01-16,201.000000,201.500000,199.779999,200.949997,194.734695,9983700
2020-01-17,201.759995,204.750000,199.979996,204.699997,198.368729,12518900
2020-01-21,204.130005,208.389999,203.800003,207.289993,200.878586,14861700
2020-01-22,207.509995,210.130005,207.289993,207.899994,201.469727,8065000
2020-01-23,207.899994,208.399994,205.300003,206.520004,200.132462,8520800
2020-01-24,207.419998,207.990005,204.210007,205.000000,198.659424,7812900
2020-01-27,200.000000,203.330002,199.100006,201.690002,195.451813,7198900
2020-01-28,202.389999,203.839996,201.779999,202.850006,196.575897,7215700
2020-01-29,204.300003,205.919998,202.509995,204.860001,198.523773,7041700
2020-01-30,204.000000,208.500000,203.320007,208.210007,201.770187,8571900
2020-01-31,201.490005,203.979996,198.259995,198.970001,192.815918,16699600
2020-02-03,199.940002,202.259995,199.850006,200.809998,194.599014,10885900
2020-02-04,203.500000,204.919998,202.229996,203.559998,197.263931,10205900
2020-02-05,205.500000,205.600006,199.949997,202.809998,196.537170,8672400
2020-02-06,203.050003,204.630005,202.479996,203.039993,196.760040,7001200
2020-02-07,201.979996,203.830002,201.089996,202.740005,196.469376,5691100
2020-02-10,201.970001,206.130005,201.860001,205.990005,199.618790,6239500
2020-02-11,207.500000,207.669998,203.639999,203.940002,197.632233,10231900
2020-02-12,205.000000,208.149994,205.000000,207.440002,201.023956,7355800
2020-02-13,206.619995,208.470001,206.050003,207.399994,201.276260,9495300
2020-02-14,208.289993,210.779999,208.009995,210.289993,204.080963,6548800
2020-02-18,210.000000,211.500000,209.360001,211.199997,204.964066,7651500
2020-02-19,212.520004,214.169998,211.720001,213.309998,207.011765,5927500
2020-02-20,212.130005,213.690002,208.279999,211.449997,205.206696,8531900
2020-02-21,209.899994,210.220001,207.419998,208.809998,202.644623,9231500
2020-02-24,197.889999,203.770004,194.009995,198.789993,192.920471,13316800
2020-02-25,198.789993,199.889999,187.720001,188.399994,182.837280,18539000
2020-02-26,190.000000,193.509995,187.029999,187.210007,181.682434,14214700
2020-02-27,182.119995,186.339996,180.000000,180.009995,174.695007,17536600
2020-02-28,173.789993,182.330002,172.979996,181.759995,176.393311,22659000
2020-03-02,186.320007,192.440002,183.100006,192.330002,186.651260,17434500
2020-03-03,193.199997,194.039993,184.500000,185.729996,180.246078,15226400
2020-03-04,190.360001,194.490005,186.169998,194.289993,188.553345,10789100
