Date,Open,High,Low,Close,Adj Close,Volume
2019-08-23,280.000000,282.089996,270.209991,271.890015,264.814758,4415000
2019-08-26,274.880005,276.429993,272.980011,276.429993,269.236542,2184400
2019-08-27,276.739990,279.089996,274.910004,276.640015,269.441101,2169400
2019-08-28,275.230011,278.649994,273.369995,278.239990,270.999420,2306900
2019-08-29,281.000000,281.980011,278.880005,281.380005,274.057831,2297200
2019-08-30,282.589996,282.959991,278.730011,281.369995,274.048004,2600300
2019-09-03,279.989990,282.839996,278.500000,280.109985,272.820801,2350800
2019-09-04,282.769989,286.209991,282.149994,286.100006,278.654938,2631000
2019-09-05,290.290009,293.459991,289.600006,292.079987,284.479340,3808300
2019-09-06,291.940002,293.070007,290.049988,291.380005,283.797607,2783300
2019-09-09,293.489990,293.690002,280.100006,283.359985,275.986267,4795900
2019-09-10,281.339996,281.500000,270.339996,272.329987,265.243225,8683800
2019-09-11,274.920013,276.000000,269.200012,269.950012,262.925201,6342300
2019-09-12,273.390015,278.769989,273.190002,276.399994,269.207367,5497900
2019-09-13,277.989990,278.149994,273.040009,276.320007,269.129486,4631100
2019-09-16,273.470001,275.760010,272.709991,274.079987,266.947662,2755100
2019-09-17,274.549988,278.630005,273.950012,276.250000,269.061279,2929500
2019-09-18,276.769989,276.850006,270.440002,275.100006,267.941223,2975900
2019-09-19,275.959991,278.149994,274.850006,275.910004,268.730164,2623800
2019-09-20,277.790009,278.589996,270.910004,271.170013,264.113434,5540800
2019-09-23,270.299988,273.739990,270.000000,273.149994,266.041962,3092000
2019-09-24,275.630005,277.440002,269.059998,271.119995,264.064789,4120300
2019-09-25,270.250000,272.989990,266.609985,272.750000,265.652405,4083600
2019-09-26,273.230011,275.440002,272.630005,273.890015,266.762665,2924600
2019-09-27,275.390015,275.630005,267.690002,269.130005,262.126587,3175700
2019-09-30,270.989990,272.070007,269.320007,271.570007,264.503082,3128700
2019-10-01,271.489990,273.649994,270.040009,270.940002,263.889404,3066400
2019-10-02,268.160004,268.940002,262.519989,264.480011,257.597565,4308900
2019-10-03,264.250000,268.540009,260.410004,268.290009,261.308472,3948100
2019-10-04,269.510010,274.480011,269.160004,274.059998,266.928192,2671400
2019-10-07,271.309998,273.500000,270.410004,272.190002,265.106934,2861900
2019-10-08,269.820007,271.079987,266.589996,267.070007,260.435913,2818900
2019-10-09,269.959991,273.140015,269.500000,272.239990,265.477509,2169600
2019-10-10,271.559998,274.709991,271.260010,273.829987,267.027954,2194700
2019-10-11,276.200012,280.000000,275.119995,275.910004,269.056396,3493000
2019-10-14,277.559998,278.559998,275.559998,276.380005,269.514618,2042500
2019-10-15,277.209991,279.959991,275.959991,278.559998,271.640533,3006600
2019-10-16,277.100006,279.029999,274.799988,278.269989,271.357666,2689400
2019-10-17,279.350006,280.440002,275.929993,276.510010,269.641449,2396600
2019-10-18,275.239990,276.679993,269.899994,270.630005,263.907471,4052300
2019-10-21,271.929993,274.359985,269.500000,274.299988,267.486328,2921200
2019-10-22,274.899994,275.350006,261.010010,261.260010,254.770248,5619500
2019-10-23,262.679993,264.190002,258.510010,260.850006,254.370453,5367000
2019-10-24,263.559998,269.329987,263.559998,268.750000,262.074158,3791900
2019-10-25,266.260010,272.179993,265.559998,270.190002,263.478363,2760200
2019-10-28,273.260010,275.929993,271.369995,275.929993,269.075836,3796600
2019-10-29,277.600006,278.290009,273.079987,274.290009,267.476593,4706700
2019-10-30,274.640015,277.470001,273.000000,277.149994,270.265533,3485500
2019-10-31,276.380005,279.089996,275.059998,276.809998,269.933960,5356000
2019-11-01,279.000000,280.390015,276.119995,279.049988,272.118347,2880000
2019-11-04,280.640015,282.239990,275.809998,276.329987,269.465851,3726600
2019-11-05,276.500000,276.950012,268.420013,269.000000,262.317932,4717500
2019-11-06,270.299988,271.670013,268.880005,269.859985,263.156616,3742900
2019-11-07,270.019989,275.079987,269.859985,272.790009,266.013885,4277800
2019-11-08,271.700012,274.950012,271.700012,274.890015,268.061646,2241300
2019-11-11,273.079987,277.130005,273.059998,277.000000,270.119263,2132600
2019-11-12,277.600006,279.500000,275.769989,277.140015,270.255829,2217200
2019-11-13,276.510010,280.459991,275.000000,278.070007,271.162689,3320600
2019-11-14,277.450012,279.630005,276.700012,279.630005,272.683929,2365900
2019-11-15,280.640015,280.899994,278.130005,280.779999,273.805389,2544200
2019-11-18,280.000000,281.769989,278.399994,280.859985,273.883392,2715900
2019-11-19,281.519989,286.579987,280.940002,285.309998,278.222809,3013800
2019-11-20,285.000000,287.730011,282.859985,285.380005,278.291138,2903900
2019-11-21,284.600006,286.519989,283.589996,284.450012,277.384186,2777000
2019-11-22,284.829987,285.359985,281.209991,282.570007,275.550934,2968100
2019-11-25,284.000000,288.989990,283.700012,287.609985,280.465637,3760200
2019-11-26,288.500000,290.649994,287.820007,289.380005,282.191772,5712800
2019-11-27,289.029999,292.000000,288.910004,291.700012,284.454041,2163500
2019-11-29,290.230011,293.000000,290.230011,292.230011,284.970917,1754400
2019-12-02,290.589996,290.750000,283.890015,286.470001,279.354004,3062300
2019-12-03,282.200012,287.600006,281.500000,287.089996,279.958679,2528300
2019-12-04,288.500000,289.619995,286.119995,286.839996,279.714813,2743300
2019-12-05,287.950012,290.950012,286.399994,289.850006,282.650055,2580300
2019-12-06,292.309998,292.500000,289.679993,290.399994,283.186401,2425200
2019-12-09,289.190002,290.959991,288.260010,289.059998,281.879761,1903000
2019-12-10,289.000000,290.170013,287.709991,288.609985,281.440826,2514300
2019-12-11,289.760010,290.320007,288.109985,290.049988,282.845093,2298100
2019-12-12,289.899994,292.750000,288.269989,292.209991,284.951385,2746400
2019-12-13,290.790009,296.529999,289.799988,296.089996,288.735046,3565400
2019-12-16,298.109985,299.480011,296.859985,296.959991,289.583496,4210700
2019-12-17,298.500000,298.500000,293.769989,296.000000,288.647278,3354500
2019-12-18,295.200012,297.299988,294.739990,294.739990,287.418579,2902700
2019-12-19,294.489990,298.179993,294.109985,297.529999,290.139252,2536900
2019-12-20,300.549988,300.549988,296.809998,298.570007,291.153503,5099400
2019-12-23,298.739990,299.829987,297.100006,297.269989,289.885651,3590500
2019-12-24,297.959991,298.309998,296.600006,297.480011,290.090485,641100
2019-12-26,298.109985,299.369995,297.799988,299.200012,291.767761,1369200
2019-12-27,300.000000,301.529999,298.179993,300.739990,293.269501,2042600
2019-12-30,300.829987,301.049988,295.279999,297.720001,290.324554,2717600
2019-12-31,296.100006,298.929993,295.769989,298.589996,291.172974,2478600
2020-01-02,300.459991,303.529999,299.500000,303.390015,295.853729,3272400
2020-01-03,299.459991,302.420013,298.600006,300.429993,292.967224,2501300
2020-01-06,297.359985,301.329987,296.019989,301.230011,293.747345,3307200
2020-01-07,301.739990,303.380005,299.880005,300.209991,292.752686,3182000
2020-01-08,300.779999,306.950012,300.510010,305.100006,297.918182,3224400
2020-01-09,308.279999,310.940002,308.019989,309.100006,301.824036,3292600
2020-01-10,311.579987,311.950012,308.739990,311.170013,303.845276,2948000
2020-01-13,313.260010,315.640015,312.899994,315.209991,307.790192,3236400
2020-01-14,316.179993,316.420013,309.859985,310.640015,303.327667,4951400
2020-01-15,312.190002,315.730011,311.040009,314.250000,306.852814,4664200
2020-01-16,317.500000,320.329987,314.989990,320.299988,312.760437,3323300
2020-01-17,321.429993,324.029999,319.239990,323.660004,316.041321,4821000
2020-01-21,322.410004,325.660004,321.489990,321.929993,314.351959,5998600
2020-01-22,324.950012,326.790009,324.119995,324.309998,316.675934,3518500
2020-01-23,325.000000,325.250000,322.320007,324.980011,317.330231,4188300
2020-01-24,326.570007,327.089996,321.660004,323.670013,316.051025,3634700
2020-01-27,315.100006,319.359985,312.500000,315.769989,308.336975,4367500
2020-01-28,315.799988,321.519989,315.459991,320.269989,312.731079,3486200
2020-01-29,323.000000,324.440002,316.769989,320.320007,312.779938,4389400
2020-01-30,319.000000,324.700012,318.010010,324.459991,316.822479,3512100
2020-01-31,323.140015,324.459991,314.500000,315.940002,308.502991,5586800
2020-02-03,318.799988,325.480011,318.429993,324.519989,316.881073,4240100
2020-02-04,328.239990,331.739990,326.290009,329.119995,321.372772,4158200
2020-02-05,335.000000,335.000000,324.170013,328.320007,320.591614,3868000
2020-02-06,329.320007,331.230011,327.679993,329.299988,321.548523,3422000
2020-02-07,328.000000,329.850006,325.869995,327.000000,319.302673,2584200
2020-02-10,325.619995,330.279999,325.510010,330.279999,322.505463,3848100
2020-02-11,335.000000,335.519989,329.660004,330.920013,323.130432,3449300
2020-02-12,330.820007,334.450012,329.220001,334.160004,326.294189,2451000
2020-02-13,332.309998,337.829987,332.130005,335.839996,327.934631,3001000
2020-02-14,337.459991,341.040009,337.029999,340.950012,332.924347,2716300
2020-02-18,341.619995,343.100006,340.390015,341.239990,333.207458,3597300
2020-02-19,343.989990,347.239990,342.630005,344.559998,336.449371,3040300
2020-02-20,345.739990,347.250000,338.170013,344.450012,336.341919,4316000
2020-02-21,342.549988,343.890015,335.609985,339.700012,331.703735,4997100
2020-02-24,317.510010,329.339996,313.839996,324.670013,317.027527,7816000
2020-02-25,321.339996,323.230011,300.760010,302.890015,295.760193,12715700
2020-02-26,302.000000,307.890015,297.890015,298.040009,291.024384,9403300
2020-02-27,285.029999,297.450012,280.940002,285.820007,279.092041,13814600
2020-02-28,274.890015,290.390015,273.549988,290.250000,283.417755,12846000
2020-03-02,298.890015,306.959991,289.440002,306.739990,299.519562,9688100
2020-03-03,314.589996,314.589996,290.829987,292.000000,285.126556,8051100
2020-03-04,299.109985,302.799988,292.750000,302.359985,295.242706,6463800
2020-03-05,295.709991,298.709991,288.239990,290.730011,283.886444,6621300
2020-03-06,282.690002,288.850006,278.619995,287.010010,280.253998,7061500
2020-03-09,265.000000,279.239990,261.179993,262.010010,255.842484,8498300
